registro_id,indicador,anio_corte,mes_corte,grupo,categoria,usuarios,es_dato_real,nota
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Montuvio/a,3069,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Afroecuatoriano/a Afrodescendiente,907,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Otro/a,578,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Mulato/a,245,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Negro/a,158,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
7,Bienestar Social · Personas con Discapacidad (PCD),2026,07,etnia,Blanco/a,116,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Mestizo/a,23529,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Indígena,3149,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Otro/a,1407,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Afroecuatoriano/a Afrodescendiente,550,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Negro/a,471,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Montuvio/a,337,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Blanco/a,295,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
6,Bienestar Social · Protección Especial (PE),2026,07,etnia,Mulato/a,180,TRUE,"Dato real, corte julio 2026 (resumen_usuarios_por_servicio.xlsx)."
